peak,country,old_lat,old_lon,new_lat,new_lon,source,source_url
Elbrus,Russia,55.7558,37.6173,43.355,42.43916667,Wikipedia,https://en.wikipedia.org/wiki/Mount_Elbrus
Mont Blanc,France / Italy,44.04975,7.390549999999999,45.83277778,6.865,Wikipedia,https://en.wikipedia.org/wiki/Mont_Blanc
Dufourspitze,Switzerland,46.8182,8.2275,45.93683333,7.86705556,Wikipedia,https://en.wikipedia.org/wiki/Dufourspitze
Großglockner,Austria,47.5162,14.5501,47.07486667,12.69525,Wikipedia,https://en.wikipedia.org/wiki/Grossglockner
Mulhacén,Spain,40.4637,-3.7492,37.05333333,-3.31138889,Wikipedia,https://en.wikipedia.org/wiki/Mulhac%C3%A9n
Zugspitze,Germany,51.1657,10.4515,47.42111111,10.98527778,Wikipedia,https://en.wikipedia.org/wiki/Zugspitze
Pic de Coma Pedrosa,Andorra,42.5063,1.5218,42.59055556,1.44478056,Wikipedia,https://en.wikipedia.org/wiki/Coma_Pedrosa
Musala,Bulgaria,42.7339,25.4858,42.17972222,23.58666667,Wikipedia,https://en.wikipedia.org/wiki/Musala
Mitikas,Greece,39.0742,21.8243,40.08555556,22.35861111,Wikipedia,https://en.wikipedia.org/wiki/Mount_Olympus
Triglav,Slovenia,46.1512,14.9955,46.37833333,13.83666667,Wikipedia,https://en.wikipedia.org/wiki/Triglav
Korab,Albania / North Macedonia,41.38095,20.9568,41.79111111,20.54777778,Wikipedia,https://en.wikipedia.org/wiki/Mount_Korab
Velika Rudoka,Kosovo,42.6026,20.903,41.91833333,20.77638889,Wikipedia,https://en.wikipedia.org/wiki/Velika_Rudoka
Gerlachovský štít,Slovakia,48.669,19.699,49.16402778,20.13402778,Wikipedia,https://en.wikipedia.org/wiki/Gerlachovsk%C3%BD_%C5%A1t%C3%ADt
Vorder Grauspitz,Liechtenstein,47.166,9.5554,47.05277778,9.58194444,Wikipedia,https://en.wikipedia.org/wiki/Grauspitz
Moldoveanu,Romania,45.9432,24.9668,45.6,24.73777778,Wikipedia,https://en.wikipedia.org/wiki/Moldoveanu_Peak
Zla Kolata,Montenegro,42.7087,19.3744,42.485,19.89722222,Wikipedia,https://en.wikipedia.org/wiki/Zla_Kolata
Rysy,Poland,51.9194,19.1451,49.17944444,20.08805556,Wikipedia,https://en.wikipedia.org/wiki/Rysy
Galdh?piggen,Norway,60.472,8.4689,61.63644,8.31248,Wikipedia,https://en.wikipedia.org/wiki/Galdh%C3%B8piggen
Maglić,Bosnia and Herzegovina,43.9159,17.6791,43.28124,18.73325,Wikipedia,https://en.wikipedia.org/wiki/Magli%C4%87_(mountain)
Pico,Portugal,39.3999,-8.2245,38.46888889,-28.39888889,Wikipedia,https://en.wikipedia.org/wiki/Mount_Pico
Midżur,Serbia,44.0165,21.0059,43.39388889,22.68166667,Wikipedia,https://en.wikipedia.org/wiki/Mid%C5%BEor
Hvannadalshnúkur,Iceland,64.9631,-19.0208,64.01583333,-16.67472222,Wikipedia,https://en.wikipedia.org/wiki/Hvannadalshnj%C3%BAkur
Kebnekaise,Sweden,60.1282,18.6435,67.90444444,18.52833333,Wikipedia,https://en.wikipedia.org/wiki/Kebnekaise
Howerla,Ukraine,48.3794,31.1656,48.16,24.50027778,Wikipedia,https://en.wikipedia.org/wiki/Hoverla
Vrh Dinare,Croatia,45.1,15.2,43.9450943,16.59693,Wikipedia,https://en.wikipedia.org/wiki/Dinara
Sněžka,Czechia,,,50.73611111,15.74027778,Wikipedia,https://en.wikipedia.org/wiki/Sn%C4%9B%C5%BEka
Ben Nevis,United Kingdom,55.3781,-3.436,56.79685,-5.003508,Wikipedia,https://en.wikipedia.org/wiki/Ben_Nevis
Halti,Finland,61.9241,25.7482,69.32277778,21.27888889,Wikipedia,https://en.wikipedia.org/wiki/Halti
Carrantuohill,Ireland,53.1424,-7.6921,51.999445,-9.742693,Wikipedia,https://en.wikipedia.org/wiki/Carrauntoohil
Mahya Da??,Turkey,38.9637,35.2433,41.78333333,27.61666667,Wikipedia,https://en.wikipedia.org/wiki/Mount_Mahya
Kékes,Hungary,47.1625,19.5033,47.87888889,20.01027778,Wikipedia,https://en.wikipedia.org/wiki/K%C3%A9kes
Sl?ttaratindur,Dania,,,62.29638889,-7.0125,Wikipedia,https://en.wikipedia.org/wiki/Sl%C3%A6ttaratindur
Monte Titano,San Marino,43.9424,12.4578,43.935,12.45,Wikipedia,https://en.wikipedia.org/wiki/Monte_Titano
Signal de Botrange,Belgium,50.5039,4.4699,50.50166667,6.09277778,Wikipedia,https://en.wikipedia.org/wiki/Signal_de_Botrange
Kneiff,Luxembourg,49.8153,6.1296,50.15769444,6.03716667,Wikipedia,https://en.wikipedia.org/wiki/Kneiff
Jurmysz,Kazakhstan,48.0196,66.9237,50.73593,58.19092,Fallback (non-Wikipedia),https://nowahuta.pttk.pl/odznaka/414/
Dealul Bălăneşti,Moldova,47.4116,28.3699,47.21722222,28.08305556,Wikipedia,https://en.wikipedia.org/wiki/B%C4%83l%C4%83ne%C8%99ti_Hill
Dzyarzhynskaya Hara,Belarus,53.7098,27.9534,53.84861111,27.06527778,Wikipedia,https://en.wikipedia.org/wiki/Dzyarzhynskaya_Hara
Vaalserberg,Netherlands,52.1326,5.2913,50.75472222,6.02083333,Wikipedia,https://en.wikipedia.org/wiki/Vaalserberg
Suur Munamägi,Estonia,58.5953,25.0136,57.71444444,27.05916667,Wikipedia,https://en.wikipedia.org/wiki/Suur_Munam%C3%A4gi
Gaizinkalns,Latvia,56.8796,24.6032,56.87025833,25.95935556,Wikipedia,https://en.wikipedia.org/wiki/Gaizi%C5%86kalns
Aukštójas,Lithuania,55.1694,23.8813,54.52708333,25.62605556,Wikipedia,https://en.wikipedia.org/wiki/Auk%C5%A1tojas_Hill
Ta’ Dmejrek,Malta,35.9375,14.3754,35.84583333,14.39694444,Wikipedia,https://en.wikipedia.org/wiki/Ta%27_Dmejrek
Chemin des Révoires,Monaco,43.7384,7.4246,43.73456944,7.41286111,Wikipedia,https://en.wikipedia.org/wiki/Chemin_des_R%C3%A9voires
Monte Vaticano,Vatican City,41.9029,12.4534,41.90361111,12.45027778,Wikipedia,https://en.wikipedia.org/wiki/Vatican_Hill
